 NUM ....Nome.... ..Capac. ..Reat.. From .To.
   1 CIRCUITO 1       100   0.05917    1    2 
   2 CIRCUITO 2       100   0.22304    1    5 
   3 CIRCUITO 3       100   0.19797    2    3 
   4 CIRCUITO 4       100   0.17632    2    4 
   5 CIRCUITO 5       100   0.17388    2    5 
   6 CIRCUITO 6       100   0.17103    3    4 
   7 CIRCUITO 7       100   0.04211    4    5 
   8 CIRCUITO 8       100   0.20912    4    7 
   9 CIRCUITO 9       100   0.55618    4    9 
  10 CIRCUITO 10      100   0.25202    5    6 
  11 CIRCUITO 11      100    0.1989    6   11 
  12 CIRCUITO 12      100   0.25581    6   12 
  13 CIRCUITO 13      100   0.13027    6   13 
  14 CIRCUITO 14      100   0.17615    7    8 
  15 CIRCUITO 15      100   0.11001    7    9 
  16 CIRCUITO 16      100    0.0845    9   10 
  17 CIRCUITO 17      100   0.27038    9   14 
  18 CIRCUITO 18      100   0.19207   10   11 
  19 CIRCUITO 19      100   0.19988   12   13 
  20 CIRCUITO 20      100   0.34802   13   14 
